2022-11-14 06:54:15.473 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2832
2022-11-14 06:54:20.886 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2832
2022-11-14 06:54:26.292 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2832
2022-11-14 06:54:31.695 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2832
2022-11-14 06:54:37.093 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2832
2022-11-14 06:54:42.631 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2832
2022-11-14 06:54:48.081 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2832
2022-11-14 06:54:53.634 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2832
2022-11-14 06:54:59.070 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2832
2022-11-14 06:55:04.602 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2832
2022-11-14 06:55:10.107 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2832
2022-11-14 06:55:15.510 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2832
2022-11-14 06:55:21.065 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2832
2022-11-14 06:55:26.547 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2832
2022-11-14 06:55:31.966 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2832
2022-11-14 06:55:37.343 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2832
2022-11-14 06:55:42.895 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2832
2022-11-14 06:55:48.343 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2832
2022-11-14 06:55:53.756 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2832
2022-11-14 06:56:14.941 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2832
2022-11-14 06:56:20.311 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2832
2022-11-14 06:56:25.841 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2832
2022-11-14 06:56:31.279 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2832
2022-11-14 06:56:36.682 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2832
2022-11-14 06:56:42.105 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2832
2022-11-14 06:56:47.525 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2832
2022-11-14 06:56:52.920 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2832
2022-11-14 06:56:58.338 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2832
2022-11-14 06:57:03.752 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2832
2022-11-14 06:57:09.178 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2832
2022-11-14 06:57:14.670 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2832
2022-11-14 06:57:20.106 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2832
2022-11-14 06:57:25.520 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2832
2022-11-14 06:57:31.001 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2832
2022-11-14 06:57:36.424 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2832
2022-11-14 06:57:41.889 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2832
2022-11-14 06:57:47.329 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2832
2022-11-14 06:57:52.733 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2832
2022-11-14 06:57:58.147 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2832
2022-11-14 06:58:03.565 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2832
2022-11-14 06:58:08.990 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2832
2022-11-14 06:58:14.398 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2832
2022-11-14 06:58:19.832 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2832
2022-11-14 06:58:25.324 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2832
2022-11-14 06:58:30.734 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2832
2022-11-14 06:58:36.127 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2832
2022-11-14 06:58:41.503 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2832
2022-11-14 06:58:46.862 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2832
2022-11-14 06:58:52.290 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2832
2022-11-14 06:58:57.699 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2832
2022-11-14 06:59:03.130 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2832
2022-11-14 06:59:08.531 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2832
2022-11-14 06:59:13.994 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2832
2022-11-14 06:59:19.559 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2832
2022-11-14 06:59:24.958 [info] Extension host terminating: received terminate message from renderer
2022-11-14 06:59:24.994 [info] Lock '/root/.vscode-server/data/User/workspaceStorage/1be3fce56b27f86975b185551eb8ce35/vscode.lock': Marking the lockfile as scheduled to be released in 6000 ms.
2022-11-14 06:59:25.298 [info] Extension host with pid 3554 exiting with code 0
